Date,HS-VaR,AWHS-VaR
2008-05-22 00:00:00-04:00,-0.05294991952210282,-0.04233648125058298
2008-05-23 00:00:00-04:00,-0.05294991952210282,-0.04217682971735126
2008-05-27 00:00:00-04:00,-0.05294991952210282,-0.04217682971735126
2008-05-28 00:00:00-04:00,-0.05294991952210282,-0.042073040556455665
2008-05-29 00:00:00-04:00,-0.05294991952210282,-0.041196735673043494
2008-05-30 00:00:00-04:00,-0.05294991952210282,-0.041196735673043494
2008-06-02 00:00:00-04:00,-0.05294991952210282,-0.03725644268120165
2008-06-03 00:00:00-04:00,-0.05294991952210282,-0.03725644268120165
2008-06-04 00:00:00-04:00,-0.05294991952210282,-0.03725644268120165
2008-06-05 00:00:00-04:00,-0.05294991952210282,-0.03725644268120165
2008-06-06 00:00:00-04:00,-0.05294991952210282,-0.047743358563220095
2008-06-09 00:00:00-04:00,-0.06435497772263199,-0.0497932203830066
2008-06-10 00:00:00-04:00,-0.06435497772263199,-0.0497932203830066
2008-06-11 00:00:00-04:00,-0.06435497772263199,-0.0497932203830066
2008-06-12 00:00:00-04:00,-0.06435497772263199,-0.0497932203830066
2008-06-13 00:00:00-04:00,-0.06435497772263199,-0.0497932203830066
2008-06-16 00:00:00-04:00,-0.06435497772263199,-0.0497932203830066
2008-06-17 00:00:00-04:00,-0.06435497772263199,-0.0497932203830066
2008-06-18 00:00:00-04:00,-0.06435497772263199,-0.047743358563220095
2008-06-19 00:00:00-04:00,-0.06435497772263199,-0.047743358563220095
2008-06-20 00:00:00-04:00,-0.06435497772263199,-0.047743358563220095
2008-06-23 00:00:00-04:00,-0.06435497772263199,-0.047743358563220095
2008-06-24 00:00:00-04:00,-0.06435497772263199,-0.047743358563220095
2008-06-25 00:00:00-04:00,-0.06435497772263199,-0.047743358563220095
2008-06-26 00:00:00-04:00,-0.06435497772263199,-0.047743358563220095
2008-06-27 00:00:00-04:00,-0.06435497772263199,-0.047743358563220095
2008-06-30 00:00:00-04:00,-0.06435497772263199,-0.047743358563220095
2008-07-01 00:00:00-04:00,-0.06435497772263199,-0.047743358563220095
2008-07-02 00:00:00-04:00,-0.06435497772263199,-0.047743358563220095
2008-07-03 00:00:00-04:00,-0.06435497772263199,-0.04435947564817011
2008-07-07 00:00:00-04:00,-0.06435497772263199,-0.04233648125058298
2008-07-08 00:00:00-04:00,-0.06435497772263199,-0.04217682971735126
2008-07-09 00:00:00-04:00,-0.06435497772263199,-0.04194122420529456
2008-07-10 00:00:00-04:00,-0.06435497772263199,-0.04194122420529456
2008-07-11 00:00:00-04:00,-0.06435497772263199,-0.04194122420529456
2008-07-14 00:00:00-04:00,-0.06435497772263199,-0.0443307754354314
2008-07-15 00:00:00-04:00,-0.06435497772263199,-0.0443307754354314
2008-07-16 00:00:00-04:00,-0.06435497772263199,-0.0443307754354314
2008-07-17 00:00:00-04:00,-0.06435497772263199,-0.0443307754354314
2008-07-18 00:00:00-04:00,-0.06435497772263199,-0.0443307754354314
2008-07-21 00:00:00-04:00,-0.06435497772263199,-0.0443307754354314
2008-07-22 00:00:00-04:00,-0.06435497772263199,-0.0443307754354314
2008-07-23 00:00:00-04:00,-0.06435497772263199,-0.0443307754354314
2008-07-24 00:00:00-04:00,-0.06720679009314534,-0.06435497772263199
2008-07-25 00:00:00-04:00,-0.06720679009314534,-0.0497932203830066
2008-07-28 00:00:00-04:00,-0.06720679009314534,-0.0497932203830066
2008-07-29 00:00:00-04:00,-0.06720679009314534,-0.0497932203830066
2008-07-30 00:00:00-04:00,-0.06720679009314534,-0.047743358563220095
2008-07-31 00:00:00-04:00,-0.06720679009314534,-0.047743358563220095
2008-08-01 00:00:00-04:00,-0.06720679009314534,-0.047743358563220095
2008-08-04 00:00:00-04:00,-0.06720679009314534,-0.047743358563220095
2008-08-05 00:00:00-04:00,-0.06720679009314534,-0.04706506270531252
2008-08-06 00:00:00-04:00,-0.06720679009314534,-0.04706506270531252
2008-08-07 00:00:00-04:00,-0.06720679009314534,-0.04706506270531252
2008-08-08 00:00:00-04:00,-0.06720679009314534,-0.04706506270531252
2008-08-11 00:00:00-04:00,-0.06720679009314534,-0.04706506270531252
2008-08-12 00:00:00-04:00,-0.09477220327191616,-0.06720679009314534
2008-08-13 00:00:00-04:00,-0.09477220327191616,-0.06720679009314534
2008-08-14 00:00:00-04:00,-0.09477220327191616,-0.06720679009314534
2008-08-15 00:00:00-04:00,-0.09477220327191616,-0.06720679009314534
2008-08-18 00:00:00-04:00,-0.09477220327191616,-0.06720679009314534
2008-08-19 00:00:00-04:00,-0.09477220327191616,-0.06720679009314534
2008-08-20 00:00:00-04:00,-0.09477220327191616,-0.06720679009314534
2008-08-21 00:00:00-04:00,-0.09477220327191616,-0.06435497772263199
2008-08-22 00:00:00-04:00,-0.09477220327191616,-0.06435497772263199
2008-08-25 00:00:00-04:00,-0.09477220327191616,-0.0497932203830066
2008-08-26 00:00:00-04:00,-0.09477220327191616,-0.047743358563220095
2008-08-27 00:00:00-04:00,-0.09477220327191616,-0.047743358563220095
2008-08-28 00:00:00-04:00,-0.09477220327191616,-0.04706506270531252
2008-08-29 00:00:00-04:00,-0.09477220327191616,-0.04706506270531252
2008-09-02 00:00:00-04:00,-0.09477220327191616,-0.04706506270531252
2008-09-03 00:00:00-04:00,-0.09477220327191616,-0.04706506270531252
2008-09-04 00:00:00-04:00,-0.09477220327191616,-0.04706506270531252
2008-09-05 00:00:00-04:00,-0.09477220327191616,-0.04706506270531252
2008-09-08 00:00:00-04:00,-0.09477220327191616,-0.04706506270531252
